hostname	location	active	owned	provider	stboot	ipv4_addr_in	ipv4_in_aws	ipv4_score	include_in_country	weight	pubkey	ipv6_addr_in	ipv6_in_aws	ipv6_score	shadowsocks_addr_in	shadowsocks_in_aws	shadowsocks_score	daita	quic_addr_in	quic_in_aws	quic_score
ca-mtr-wg-004	ca-mtr	True	False	M247	True	188.241.176.194	False	52	True	100	Cc5swfQ9f2tAgLduuIqC3bLbwDVoOFkkETghsE6/twA=	2a0d:5600:9:16::f001	False	None	None	None	None	False	None	None	None
ca-mtr-wg-303	ca-mtr	True	False	Tzulo	True	23.234.121.2	False	46	True	100	jS8Wn97oET0rNFD9yIoJIahbVfMc6aubJq6G7+C1PBs=	2607:9000:f00:4::f01f	False	None	23.234.121.5	False	None	False	23.234.121.20	False	None
ca-mtr-wg-202	ca-mtr	True	False	DataPacket	True	62.93.167.160	False	42	True	100	NqU0AZRAYH1p8BDUbirqITPJX47WYJsyxO73RHcEjEQ=	2a02:6ea0:a03::f001	False	None	62.93.167.162	False	None	False	None	None	None
ca-mtr-wg-002	ca-mtr	True	False	M247	True	146.70.198.130	False	52	True	100	7X6zOgtJfJAK8w8C3z+hekcS9Yf3qK3Bp4yx56lqxBQ=	2a0d:5600:9:d::f001	False	None	None	None	None	False	None	None	None
br-for-wg-001	br-for	True	False	Zenlayer	True	98.98.12.178	False	54	True	100	CiPqGvrQidRVmKc6T8TORsAAZtQbsGzNEAKyd1iVlWY=	2604:980:e007:100::f001	False	None	155.2.219.14	False	None	False	155.2.219.13	False	None
ca-tor-wg-001	ca-tor	True	False	DataPacket	True	178.249.214.2	False	31	True	100	HjcUGVDXWdrRkaKNpc/8494RM5eICO6DPyrhCtTv9Ws=	2a02:6ea0:de08:1::f001	False	None	None	None	None	True	None	None	None
br-sao-wg-302	br-sao	True	False	HostRoyale	True	103.139.178.63	False	29	True	100	Xv1QvURPbgywITL6MNVhbYtfZXTm0lR98SPaf3AXeCc=	2a06:3040:10:610::f101	False	None	103.139.178.74	False	None	False	103.139.178.73	False	None
br-sao-wg-303	br-sao	True	False	HostRoyale	True	103.139.178.123	False	29	True	100	oYrzNmnieX0iZS2nLxdM3mNcDjQZEWn5yaFCtX76qDk=	2a06:3040:10:610::f201	False	None	103.139.178.134	False	None	False	103.139.178.133	False	None
ca-mtr-wg-301	ca-mtr	True	False	Tzulo	True	23.234.120.2	False	46	True	100	iV7uZuw8vbqrW/p4YhsxkIxXaUuI4Uj2hTl8TaJZfAA=	2607:9000:f00:2::f001	False	None	23.234.120.5	False	None	True	23.234.120.20	False	None
br-for-wg-002	br-for	True	False	Zenlayer	True	98.98.12.182	False	54	True	100	qXISz0Kl4oC0sypcjD6hIxplv8zzZGIJPQZc4/EGz2k=	2604:980:e007:100::f101	False	None	155.2.219.139	False	None	False	155.2.219.138	False	None
ca-mtr-wg-003	ca-mtr	True	False	M247	True	146.70.198.194	False	52	True	100	57Zu2qPzRScZWsoC2NhXgz0FiC0HiKkbEa559sbxB3k=	2a0d:5600:9:e::a02f	False	None	None	None	None	False	None	None	None
ca-tor-wg-002	ca-tor	True	False	DataPacket	True	178.249.214.15	False	31	True	100	iqZSgVlU9H67x/uYE5xsnzLCDXf7FL9iMfyKfl6WsV8=	2a02:6ea0:de08:2::a29f	False	None	None	None	None	False	None	None	None
ca-mtr-wg-308	ca-mtr	True	False	Tzulo	True	23.234.123.127	False	46	True	100	lyOeQQ2eGQgEdV+uH/S7UPOPMCsRWkDSQiZhPTUT0AI=	2607:9000:f00:9::f001	False	None	23.234.123.130	False	None	False	23.234.123.130	False	None
ca-tor-wg-202	ca-tor	True	False	Tzulo	True	23.234.84.127	False	0	True	100	vr/sAm+36c3N8jWfo14Sw6El0xJeSvu/soU/8JWSb3U=	2607:9000:600:32::f001	False	None	23.234.84.138	False	None	True	23.234.84.137	False	None
ca-mtr-wg-305	ca-mtr	True	False	Tzulo	True	23.234.122.2	False	46	True	100	vHxqoUcH2dHqphHD6Kj74gf8+SldQ/S2XP1nbasTSkQ=	2607:9000:f00:6::f001	False	None	23.234.122.5	False	None	False	23.234.122.20	False	None
ca-mtr-wg-304	ca-mtr	True	False	Tzulo	True	23.234.121.127	False	46	True	100	zY8NKWC/zDdNBBFFtH3acoZAJj2BD/AYZVOUiIRZric=	2607:9000:f00:5::f001	False	None	23.234.121.130	False	None	False	23.234.121.145	False	None
au-syd-wg-301	au-syd	True	False	HostRoyale	True	103.120.6.2	False	29	True	100	bQIQLk9zVOZLEGJsQOMu0K3rCMc85gExkS/0b1tSVBk=	2a06:3040:18:210::f001	False	None	103.120.6.13	False	None	False	103.120.6.12	False	None
ca-van-wg-202	ca-van	True	False	techfutures	True	104.193.135.100	False	19	True	100	wGqcNxXH7A3bSptHZo7Dfmymy/Y30Ea/Zd47UkyEbzo=	2606:9580:103:f::f001	False	None	None	None	None	False	None	None	None
ca-tor-wg-201	ca-tor	True	False	Tzulo	True	23.234.84.2	False	0	True	100	94nJF3WyWKsZQOFhWWco8cjBOrSYADsMSTeivfbWQyw=	2607:9000:600:31::f001	False	None	23.234.84.13	False	None	True	23.234.84.12	False	None
ca-van-wg-201	ca-van	True	False	techfutures	True	104.193.135.196	False	19	True	100	hYbb2NQKB0g2RefngdHl3bfaLImUuzeVIv2i1VCVIlQ=	2606:9580:103:e::f001	False	None	None	None	None	False	None	None	None
ca-van-wg-302	ca-van	True	False	DataPacket	True	149.22.81.207	False	42	True	100	EOOkxbmbdHmjb8F45s33yKrIzKWH6lGIgJf2kTOxwFw=	2a02:6ea0:5100:2::f001	False	None	None	None	None	False	None	None	None
ca-tor-wg-206	ca-tor	True	False	Tzulo	True	23.234.86.127	False	10	True	100	PGPyMyMPZ7Lue4pvFK7hlavToQ5FfBODmQBoiaUZ40I=	2607:9000:600:36::f001	False	None	23.234.86.138	False	None	False	23.234.86.137	False	None
ca-mtr-wg-302	ca-mtr	True	False	Tzulo	True	23.234.120.127	False	46	True	100	ihfPUEJ+SOFLzpb6ATGKX1/aAOA2MiTgm36yxmMdNUs=	2607:9000:f00:3::f001	False	None	23.234.120.130	False	None	False	23.234.120.145	False	None
ca-van-wg-301	ca-van	True	False	DataPacket	True	149.22.81.194	False	42	True	100	BzYINbABQiSbRLDZIlmgsLgL88offQJCEH3JkcjRGUk=	2a02:6ea0:5100:1::f001	False	None	None	None	None	True	None	None	None
ca-tor-wg-204	ca-tor	True	False	Tzulo	True	23.234.85.127	False	29	True	100	APcoI2H2zdWIMdVYXslcJm4zzgePc4PESsDHgkm0UnQ=	2607:9000:600:34::f001	False	None	23.234.85.138	False	None	False	23.234.85.137	False	None
